Time Heading Pitch Roll AccelX AccelY AccelZ GravityX GravityY GravityZ
13.582 0.00 0.10 2.19 0.00 -0.04 -0.13 -0.01 0.37 9.79
13.679 0.00 0.10 2.19 0.00 -0.01 -0.14 -0.01 0.37 9.79
13.784 0.00 0.10 2.19 0.00 -0.02 -0.13 -0.01 0.37 9.79
13.982 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
13.992 0.00 0.10 2.19 0.00 0.00 -0.14 -0.01 0.37 9.79
14.093 0.00 0.10 2.19 0.01 -0.01 -0.10 -0.01 0.37 9.79
14.191 0.00 0.10 2.19 0.00 -0.01 -0.12 -0.01 0.37 9.79
14.293 0.00 0.10 2.19 0.01 -0.03 -0.13 -0.01 0.37 9.79
14.347 0.00 0.10 2.19 0.01 -0.01 -0.12 -0.01 0.37 9.79
14.454 0.00 0.10 2.19 0.01 -0.01 -0.12 -0.01 0.37 9.79
14.561 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
14.701 0.00 0.10 2.19 0.02 -0.01 -0.11 -0.01 0.37 9.79
14.762 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
14.905 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
15.123 0.00 0.10 2.19 0.00 -0.03 -0.14 -0.01 0.37 9.79
15.135 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
15.215 0.00 0.10 2.19 0.01 -0.03 -0.13 -0.01 0.37 9.79
15.266 0.00 0.10 2.19 0.00 -0.04 -0.14 -0.01 0.37 9.79
15.432 0.00 0.10 2.19 0.00 -0.03 -0.14 -0.01 0.37 9.79
15.482 0.00 0.10 2.19 0.01 -0.01 -0.14 -0.01 0.37 9.79
15.622 0.00 0.10 2.19 0.00 -0.06 -0.14 -0.01 0.37 9.79
15.727 0.00 0.10 2.19 0.00 -0.05 -0.15 -0.01 0.37 9.79
15.784 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
15.847 0.00 0.10 2.19 0.01 -0.01 -0.12 -0.01 0.37 9.79
16.033 0.00 0.10 2.19 0.00 -0.01 -0.12 -0.01 0.37 9.79
16.094 0.00 0.10 2.19 0.01 0.00 -0.13 -0.01 0.37 9.79
