Time (s),RPM1,RPM2,RPM3,dt (s),Vx (m/s),Vy (m/s),Omega (rad/s),X (m),Y (m),Theta (rad)
2.47,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
2.472,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
2.473,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
2.474,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
2.476,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
2.568,0.0,0.0,0.0,0.09200000000000008,0.0,0.0,0.0,0.0,0.0,0.0
2.572,0.0,0.0,0.0,0.0040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0
2.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.575,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
2.576,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
2.629,0.0,0.0,0.0,0.052999999999999936,0.0,0.0,0.0,0.0,0.0,0.0
2.634,0.0,0.0,0.0,0.004999999999999893,0.0,0.0,0.0,0.0,0.0,0.0
2.636,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
2.69,0.0,0.0,0.0,0.053999999999999826,0.0,0.0,0.0,0.0,0.0,0.0
2.693,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
2.696,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
2.772,0.0,0.0,0.0,0.07599999999999962,0.0,0.0,0.0,0.0,0.0,0.0
2.773,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
2.774,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
2.777,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
2.824,0.0,0.0,0.0,0.04699999999999971,0.0,0.0,0.0,0.0,0.0,0.0
2.825,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
2.826,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
2.875,0.0,0.0,0.0,0.04899999999999993,0.0,0.0,0.0,0.0,0.0,0.0
2.876,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
2.934,0.0,0.0,0.0,0.058000000000000274,0.0,0.0,0.0,0.0,0.0,0.0
2.936,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
2.938,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
