Timestamp,RPM1,RPM2,RPM3,BNO055_Heading_Deg,BNO055_Heading_Rad,Is_Using_BNO055,Theta_For_Kinematics_Rad,Theta_For_Kinematics_Deg,Velocity_X,Velocity_Y,Angular_Velocity,Position_X,Position_Y,Theta_Rad,Theta_Deg,Delta_Time
2025-04-04 22:09:56.695,48.71,-30.93,-16.62,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026540306574597026,0.15171107858652824,0.007872645232586285,-0.08798457001467651,1.025647547505109,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:56.696,48.71,-30.93,-16.62,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026540306574597026,0.15171107858652824,0.007872645232586285,-0.08851537614616845,1.0286817690768395,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:56.696,48.71,-30.93,-16.62,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026540306574597026,0.15171107858652824,0.007872645232586285,-0.08904618227766038,1.03171599064857,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:56.817,48.85,-30.74,-17.0,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.027679421791176956,0.151827434234888,0.007533307076009236,-0.08959977071348392,1.0347525393332677,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:56.817,48.85,-30.74,-17.0,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.027679421791176956,0.151827434234888,0.007533307076009236,-0.09015335914930746,1.0377890880179654,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:56.817,48.85,-30.74,-17.0,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.027679421791176956,0.151827434234888,0.007533307076009236,-0.090706947585131,1.0408256367026631,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:56.817,48.85,-30.74,-17.0,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.028341628356507345,0.15170521506904353,0.007533307076009236,-0.09127378015226115,1.043859741004044,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:56.817,48.85,-30.74,-17.0,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.028341628356507345,0.15170521506904353,0.007533307076009236,-0.0918406127193913,1.0468938453054248,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:56.868,48.62,-31.02,-16.59,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.026954602905857675,0.15154964841618085,0.006854630762855206,-0.09237970477750845,1.0499248382737485,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:56.868,48.62,-31.02,-16.59,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.026954602905857675,0.15154964841618085,0.006854630762855206,-0.09291879683562561,1.0529558312420721,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:56.868,48.62,-31.02,-16.59,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.026954602905857675,0.15154964841618085,0.006854630762855206,-0.09345788889374276,1.0559868242103958,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:56.919,48.83,-31.09,-16.74,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.02798244635675771,0.1520099551236277,0.006786763131539831,-0.09401753782087792,1.0590270233128685,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:56.919,48.83,-31.09,-16.74,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.02798244635675771,0.1520099551236277,0.006786763131539831,-0.09457718674801308,1.0620672224153411,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:56.970,48.5,-30.89,-17.04,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.028632201719234206,0.15114729303184463,0.0038684549849776957,-0.09514983078239776,1.065090168275978,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:56.970,48.5,-30.89,-17.04,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.028632201719234206,0.15114729303184463,0.0038684549849776957,-0.09572247481678245,1.0681131141366147,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:57.021,49.07,-31.94,-17.13,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.027818771288468467,0.1539882359929736,5.720553117389048e-18,-0.09627885024255183,1.0711928788564742,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:57.021,49.07,-31.94,-17.13,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.027146608173965844,0.15410815203900474,5.720553117389048e-18,-0.09682178240603115,1.0742750418972542,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:57.021,49.07,-31.94,-17.13,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.027146608173965844,0.15410815203900474,5.720553117389048e-18,-0.09736471456951047,1.0773572049380342,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:57.021,49.07,-31.94,-17.13,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.027146608173965844,0.15410815203900474,5.720553117389048e-18,-0.0979076467329898,1.0804393679788142,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:57.179,48.68,-32.14,-16.34,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.024970162089896556,0.15336941435370172,0.0013573526263079474,-0.09840704997478772,1.0835067562658882,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:57.179,48.68,-32.14,-16.34,9.9375,0.1734420944169365,True,0.1734420944169365,9.9375,-0.024970162089896556,0.15336941435370172,0.0013573526263079474,-0.09890645321658564,1.0865741445529622,0.1734420944169365,9.9375,0.02
2025-04-04 22:09:57.179,48.68,-32.14,-16.34,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.024300726202304668,0.15347690692750415,0.0013573526263079474,-0.09939246774063173,1.0896436826915123,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:57.179,48.68,-32.14,-16.34,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.024300726202304668,0.15347690692750415,0.0013573526263079474,-0.09987848226467783,1.0927132208300625,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:57.231,48.42,-30.53,-16.21,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026034339072318582,0.15034612048686977,0.011401762060986925,-0.1003991690461242,1.0957201432397998,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:57.231,48.42,-30.53,-16.21,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026034339072318582,0.15034612048686977,0.011401762060986925,-0.10091985582757057,1.0987270656495371,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:57.231,48.42,-30.53,-16.21,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026034339072318582,0.15034612048686977,0.011401762060986925,-0.10144054260901694,1.1017339880592745,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:57.231,48.42,-30.53,-16.21,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.027345348521931864,0.15011320618319662,0.011401762060986925,-0.10198744957945557,1.1047362521829385,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:57.231,48.42,-30.53,-16.21,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.027345348521931864,0.15011320618319662,0.011401762060986925,-0.1025343565498942,1.1077385163066025,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:57.231,48.42,-30.53,-16.21,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.027345348521931864,0.15011320618319662,0.011401762060986925,-0.10308126352033284,1.1107407804302665,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:57.231,48.42,-30.53,-16.21,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.027345348521931864,0.15011320618319662,0.011401762060986925,-0.10362817049077147,1.1137430445539305,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:57.232,48.42,-30.53,-16.21,10.0625,0.17562375598192942,True,0.17562375598192942,10.0625,-0.027345348521931864,0.15011320618319662,0.011401762060986925,-0.1041750774612101,1.1167453086775945,0.17562375598192942,10.0625,0.02
2025-04-04 22:09:57.356,48.38,-31.27,-15.96,10.375,0.1810779098944117,True,0.1810779098944117,10.375,-0.02745409923567837,0.15084367759894365,0.00780477760127088,-0.10472415944592367,1.1197621822295734,0.1810779098944117,10.375,0.02
2025-04-04 22:09:57.356,48.38,-31.27,-15.96,10.375,0.1810779098944117,True,0.1810779098944117,10.375,-0.02745409923567837,0.15084367759894365,0.00780477760127088,-0.10527324143063724,1.1227790557815522,0.1810779098944117,10.375,0.02
2025-04-04 22:09:57.357,48.38,-31.27,-15.96,10.375,0.1810779098944117,True,0.1810779098944117,10.375,-0.02745409923567837,0.15084367759894365,0.00780477760127088,-0.1058223234153508,1.1257959293335311,0.1810779098944117,10.375,0.02
2025-04-04 22:09:57.357,48.38,-31.27,-15.96,10.375,0.1810779098944117,True,0.1810779098944117,10.375,-0.02745409923567837,0.15084367759894365,0.00780477760127088,-0.10637140540006437,1.12881280288551,0.1810779098944117,10.375,0.02
2025-04-04 22:09:57.357,48.38,-31.27,-15.96,10.375,0.1810779098944117,True,0.1810779098944117,10.375,-0.02745409923567837,0.15084367759894365,0.00780477760127088,-0.10692048738477794,1.1318296764374889,0.1810779098944117,10.375,0.02
2025-04-04 22:09:57.411,48.4,-31.02,-16.29,10.5,0.1832595714594046,True,0.1832595714594046,10.5,-0.029139179354900936,0.15046276374188114,0.007397571813378484,-0.10750327097187595,1.1348389317123264,0.1832595714594046,10.5,0.02
